31382,31400,28974,28992
33790,33808,26566,26584
36198,36216,24158,24176
38606,38624,21750,21768
41014,41032,19342,19360
43422,43440,16934,16952
45830,45848,14526,14544
48238,48256,12118,12136
50646,50664,9710,9728
53054,53072,7302,7320
55462,55480,4894,4912
57870,57888,2486,2504
60278,60296,,
31362,31420,28954,29012
33770,33828,26546,26604
36178,36236,24138,24196
38586,38644,21730,21788
40994,41052,19322,19380
43402,43460,16914,16972
45810,45868,14506,14564
48218,48276,12098,12156
50626,50684,9690,9748
53034,53092,7282,7340
55442,55500,4874,4932
57850,57908,2466,2524
60258,60316,,
31344,31438,28936,29030
33752,33846,26528,26622
36160,36254,24120,24214
38568,38662,21712,21806
40976,41070,19304,19398
43384,43478,16896,16990
45792,45886,14488,14582
48200,48294,12080,12174
50608,50702,9672,9766
53016,53110,7264,7358
55424,55518,4856,4950
57832,57926,2448,2542
60240,60334,,
31324,31458,28916,29050
33732,33866,26508,26642
36140,36274,24100,24234
38548,38682,21692,21826
40956,41090,19284,19418
43364,43498,16876,17010
45772,45906,14468,14602
48180,48314,12060,12194
50588,50722,9652,9786
52996,53130,7244,7378
55404,55538,4836,4970
57812,57946,2428,2562
60220,60354,,
